step,loss
245,0.027987
246,0.027981
247,0.027976
248,0.027971
249,0.027965
250,0.027960
251,0.027955
252,0.027950
253,0.027945
254,0.027940
255,0.027935
256,0.027931
257,0.027926
258,0.027922
259,0.027918
260,0.027913
261,0.027909
262,0.027905
263,0.027901
264,0.027898
265,0.027894
266,0.027891
267,0.027887
268,0.027884
269,0.027881
270,0.027878
271,0.027875
272,0.027873
273,0.027870
274,0.027868
275,0.027865
276,0.027863
277,0.027861
278,0.027858
279,0.027856
280,0.027855
281,0.027853
282,0.027851
283,0.027849
284,0.027848
285,0.027846
286,0.027844
287,0.027843
288,0.027842
289,0.027840
290,0.027839
291,0.027838
292,0.027837
293,0.027836
294,0.027835
295,0.027832
296,0.027829
297,0.027825
298,0.027821
299,0.027815
300,0.027807
301,0.027799
302,0.027791
303,0.027782
304,0.027774
305,0.027766
306,0.027759
307,0.027751
308,0.027745
309,0.027740
310,0.027736
311,0.027730
312,0.027725
313,0.027722
314,0.027715
315,0.027711
316,0.027707
317,0.027701
318,0.027696
319,0.027690
320,0.027684
321,0.027677
322,0.027670
323,0.027663
324,0.027657
325,0.027651
326,0.027646
327,0.027640
328,0.027634
329,0.027630
330,0.027627
331,0.027623
332,0.027618
333,0.027614
334,0.027612
335,0.027608
336,0.027604
337,0.027600
338,0.027597
339,0.027594
340,0.027590
341,0.027586
342,0.027583
343,0.027580
344,0.027578
345,0.027575
346,0.027573
347,0.027570
348,0.027567
349,0.027564
350,0.027562
351,0.027559
352,0.027557
353,0.027556
354,0.027555
355,0.027555
356,0.027555
357,0.027555
358,0.027554
359,0.027552
360,0.027551
361,0.027551
362,0.027551
363,0.027552
364,0.027553
365,0.027554
366,0.027555
367,0.027557
368,0.027558
369,0.027559
370,0.027560
371,0.027561
372,0.027562
373,0.027563
374,0.027565
375,0.027566
376,0.027568
377,0.027569
378,0.027571
379,0.027572
380,0.027574
381,0.027576
382,0.027578
383,0.027579
384,0.027581
385,0.027583
386,0.027585
387,0.027587
388,0.027589
389,0.027591
390,0.027593
391,0.027595
392,0.027597
393,0.027599
394,0.027601
395,0.027603
396,0.027606
397,0.027608
398,0.027610
399,0.027612
400,0.027614
401,0.027617
402,0.027619
403,0.027621
404,0.027624
405,0.027626
406,0.027629
407,0.027631
408,0.027633
409,0.027636
410,0.027638
411,0.027641
412,0.027643
413,0.027646
414,0.027649
415,0.027651
416,0.027654
417,0.027656
418,0.027659
419,0.027662
420,0.027664
421,0.027667
422,0.027670
423,0.027673
424,0.027675
425,0.027678
426,0.027681
427,0.027684
428,0.027686
429,0.027689
430,0.027692
431,0.027695
432,0.027698
433,0.027701
434,0.027704
435,0.027706
436,0.027709
437,0.027712
438,0.027715
439,0.027718
440,0.027721
441,0.027724
442,0.027727
443,0.027730
444,0.027733
445,0.027736
446,0.027739
447,0.027742
448,0.027745
449,0.027748
450,0.027751
451,0.027754
452,0.027757
453,0.027760
454,0.027763
455,0.027766
456,0.027769
457,0.027772
458,0.027775
459,0.027778
460,0.027782
461,0.027785
462,0.027788
463,0.027791
464,0.027794
465,0.027797
466,0.027800
467,0.027803
468,0.027806
469,0.027809
470,0.027812
471,0.027816
472,0.027819
473,0.027822
474,0.027825
475,0.027828
476,0.027831
477,0.027834
478,0.027837
479,0.027840
480,0.027844
481,0.027847
482,0.027850
483,0.027853
484,0.027856
485,0.027859
486,0.027862
487,0.027865
488,0.027868
489,0.027871
490,0.027874
491,0.027877
492,0.027881
493,0.027884
494,0.027887
495,0.027890
496,0.027893
497,0.027896
498,0.027899
499,0.027902
